Question,Correct Answer,Correct Index,Option A,Option B,Option C,Option D
In what European city are Piazza San Marco and Canale Grande located?,Venice,1,Venice,Lisbon,Madrid,Florence
"The Shulman brothers, who founded the progressive rock group, Gentle Giant in 1970, were part of which 60s pop group?",Simon Dupree and the Big Sound,2,Changes,Simon Dupree and the Big Sound,Love Inc.,The Bell Towers
The performance of this actor in a 1988 movie brought him the Golden Raspberry Award for Worst Actor.,Sylvester Stallone in Rambo III,1,Sylvester Stallone in Rambo III,Burt Reynolds in Rent-A-Cop,Jackie Mason in Caddyshack II,Tom Cruise in Cocktail
Whats the rest of this verse from Madonnas song Frozen: Youre frozen when...,... your hearts not open.,4,... you dont life for the moment.,... you lose all hope.,... you say its all over.,... your hearts not open.
Charlie Daniels was nominated for a Grammy Award for Best Country Vocal Performance in 1979 for The Devil Went Down to Georgia but did not win.,False,1,False,True,N/A,N/A
Jerry Garcia was a straight A student in school.,False,1,False,True,N/A,N/A
What is the length of the 2007 film adaptation of the graphic novel 300?,117 minutes,4,111 minutes,125 minutes,100 minutes,117 minutes
All these entities are located around the Black Sea except for one. Name the exception.,Ural mountains,1,Ural mountains,Balkan peninsula,Caucasus mountains,Anatolia
What kind of animal character does Ray Romano voice in the Ice Age 3 movie?,Mammoth,1,Mammoth,Tiger,Squirrel,Dinosaur
"The Erie Canal is a canal in New York State, United States, that runs from the Hudson River to Lake Erie, connecting the Great Lakes with the Atlantic Ocean.  The entire canal was opened in which year?",1825,3,1904,1800,1825,1862
"American actress Bette Davis, who passed away on October 6, 1989, was the the first woman to be presented with this award by the American Film Institute.",Lifetime Achievement Award,3,Best Actress Award,Free Spirit Award,Lifetime Achievement Award,All of these
How many Academy Awards did the 1990 movie Dances with Wolves win out of twelve nominations?,Seven,3,None,Twelve,Seven,Five
In what year does the storyline of Watchmen take place?,1985,4,1876,1990,1972,1985
Who was the lead singer of Deep Purple from 1973-1976?,David Coverdale,4,Tommy Bolin,Ian Gillan,Rod Evans,David Coverdale
Which Pearl Jam classic song from the 1991 album Ten is about homelessness?,Evenflow,1,Evenflow,Alive,Yellow Ledbetter,Black
Which plane was the first operational turbojet to take part in WW II?,Messerschmitt 262,3,Heinkel He 178,Gloster Meteor,Messerschmitt 262,Arado Ar 234
She Got the Goldmine (I Got the Shaft) was written by Tim DuBois but made popular by this co-star of Smokey and the Bandit who played Cledus Snow and sang the theme song East Bound and Down. What is his name?,Jerry Reed,2,Johnny Cash,Jerry Reed,Jerry Lee Lewis,Burt Reynolds
Elphaba is the lead character in which clever show based loosely on The Wizard of Oz?,Wicked,3,La Cage aux Folles,Follies,Wicked,The Boy From Oz
New Guinea is the most linguistically diverse area in the world. Approximately how many separate languages are spoken there?,1000,4,80,20,650,1000
"This bridge, that spans the Tagus River, is the longest bridge in Europe.",Vasco da Gama Bridge,3,Vizcaya Bridge,Guadiana International Bridge,Vasco da Gama Bridge,Merida Bridge
"Alan Ginsberg was a major Beat poet who crossed into psychedelia with his classic spoken word recording of Turn On, Tune In, Drop Out.",False,1,False,True,N/A,N/A
What actor played Treasury Secretary William Cleary in the great movie Wedding Crashers?,Christopher Walken,4,"Kurt Valdheim, Jr.",Henry Gibson,Carson Elrod,Christopher Walken
"During WWII, upon leaving the Philippines, American general Douglass Mcarthur said I will never return.",False,2,True,False,N/A,N/A
Which movie adaptation of a Broadway musical won eleven Academy Awards?,West Side Story,4,My Fair Lady,Oliver,Gigi,West Side Story
"While Jimmy Buffett was landing his sea plane in Mexico, the police shot at it, thinking Buffett was a drug smuggler.",False,2,True,False,N/A,N/A
What was the first name of Sonny and Cher’s duet under which they released their first album?,Caesar and Cleo,3,Bonnie and Clyde,Romeo and Julie,Caesar and Cleo,Zeus and Hera
In what year was the jazz hit Alexanders Ragtime Band recorded?,1911,3,1932,1925,1911,1918
This team produced several hits for Sam Cooke. Chain Gang was their biggest hit.,Hugo and Luigi,2,Merer and Feyne,Hugo and Luigi,Medley and Russell,Piney and  Boyce
What nickname was given to English rock band The Rolling Stones?,The Greatest Rock and Roll Band in the World,4,The Monsters,The Rock and Roll Royalty,None of these,The Greatest Rock and Roll Band in the World
Is it true that Prince graduated from college with a degree in music?,No,1,No,Yes,N/A,N/A
What planet is Chief Engineer Philo from in the Weird Al Yankovic movie UHF?,Zarcon,3,Zirdon,Zircon,Zarcon,Zardon
"In the The Fellowship of the Ring movie, what is the name of Sams crush?",Rosie,2,Sally,Rosie,Suzie,Rubby
"In the Knightfall storyline, Bruce Wayne finally meets his match in the hulking villain Bane, who fatally injures him, thus causing him to be replaced by Azreal, who becomes the new Batman.",False,2,True,False,N/A,N/A
He was the bassist for The Grateful Dead.,Phil Lesh,2,Bob Weir,Phil Lesh,Pigpen,Jerry Garcia
The North and South (between Maryland and Pennsylvania) were separated by what famous line?,The Mason-Dixon Line,4,The Dixon Divide,The Underground Railroad,The Line of Freedom,The Mason-Dixon Line
What star of Everybody Loves Raymond played Jocko Dundee in Johnny Dangerously?,Peter Boyle,2,None of these,Peter Boyle,Brad Garret,Ray Romano
What was Navins last name in the 1979 comedy The Jerk?,Johnson,4,Singer,Kameston,Maltin,Johnson
The English group Dexys Midnight Runners had a #1 hit in 1982 with this song.,Come On Eileen,4,Gloria,Rosanna,867-5309/Jenny,Come On Eileen
This 2002 movie was a remake of the 1998 Japanese film of the same name. Its success opened the door for several other Japanese film remakes.,The Ring,2,The Grudge,The Ring,Shutter,Dark Water
What was the first single released by Oasis?,Supersonic,1,Supersonic,Cigarettes  Alcohol,Live Forever,Shakermaker
What is the title of the 1973 song written and performed by Tina Turner about her hometown?,Nutbush City Limits,2,Nutmeg City Limits,Nutbush City Limits,Nutsville City Limits,Nutcracker City Limits
"Who played the Mexican bandito, Calvera in the film The Magnificent Seven?",Eli Wallach,4,Ricardo Montalban,Antonio Banderas,Edward James Olmos,Eli Wallach
American singer Don McLean wrote many different songs that were in tribute to one person or another. Which song of his was in tribute to Fred Astaire?,Wonderful Baby,3,And I Love You So,Castles in the Air,Wonderful Baby,Supermans Ghost
One of Stella Adlers brothers was the first Jewish actor to play Adolph Hitler in three movies. Who was he?,Luther Adler,3,Charles Adler,Jacob Adler,Luther Adler,Jay Adler
The song heard in the audio clip is from this mega-successul soundtrack from the 1970s.,Saturday Night Fever,3,American Graffiti,Grease,Saturday Night Fever,Xanadu
This singer was Dancing On The Ceiling in 1986.,Lionel Richie,4,Michael Jackson,Michael McDonald,Baltimora,Lionel Richie
Which of these lines contains artist all of which have at least one song featuring Chris Brown?,"Bow Wow, Lil Mama, Jordin Sparks, David Banner",1,"Bow Wow, Lil Mama, Jordin Sparks, David Banner","Bow Wow, Lil Mama, Jordin Sparks, Rihanna","Bow Wow, Omarion, Lil Mama, Lil Wayne","Jordin Sparks, Bow Wow, David Banner, Rihanna"
The movie The Blair Witch Project is based on a real legend.,True,1,True,False,N/A,N/A
"When choosing a name for their band, The Crickets nearly opted for this name.",Beetles,4,Roaches,Eagles,The Deer,Beetles
This singer was severely injured in 1990 when his/her tour bus was struck by a tractor-trailer.,Gloria Estefan,1,Gloria Estefan,Janet Jackson,Madonna,Micheal Jackson
What are the three Benelux countries?,"Belgium, Netherlands and Luxembourg",1,"Belgium, Netherlands and Luxembourg","Finland, Sweden and Denmark","The U.S.A., Canada and Mexico","Honduras, Nicaragua and Belize"
"The Pearl Jam song Down, which was released on the 2003 B-sides compilation Lost Dogs, was inspired by the writings of what author?",Howard Zinn,4,"Hubert Selby, Jr.",William Burroughs,Kurt Vonnegut,Howard Zinn
What is the name of the well from which Night Elfs originally obtained their magical powers?,Well of Eternity,3,MoonWell,Well of Magic,Well of Eternity,Well of Power
The song Given Up from Linkin Parks album Minutes to Midnight is the first Linkin Park song to feature profanity in the lyrics.,False,1,False,True,N/A,N/A
The name of which American state means red people in the Choctaw language?,Oklahoma,2,Ohio,Oklahoma,North Dakota,Oregon
James Bond is assigned what  weapon in the movie Dr. No?,Walther PPK,3,Makarov,Colt,Walther PPK,Luger
In which of these movies does Thomas Lennon portray a ping-pong player?,Balls of Fury,1,Balls of Fury,Good Luck Chuck,The Invisible,Eden Court
What were the nicknames of the two atomic bombs dropped over Japan on 6 August 1945 and 9 August 1945?,Little Boy and Fat Man,4,Bomb 1 and Bomb 2,Mother-in-law and Father-in-law,Sandman and Assassin,Little Boy and Fat Man
What 1970s song is the following lyric from: Have you heard about the new dance craze?,Le Freak,3,Boogie Oogie Oogie,Kung Fu Fighting,Le Freak,The Hustle
"Its common knowledge among Eric Clapton fans that his song, Tears in Heaven was written about his son who died from a fall from a window screen.  What was the boys name?",Connor,1,Connor,Jack,Patrick,Ricky
"Not counting sound tracks, how many CDs did Green Day produce prior to the release of their American Idiot album?",8,1,8,1,15,74
"These are the last lines spoken in this 1992 movie by Robert Rodriguez which was set up as a prequel to Desperado.  All I wanted was to be a ***, like my ancestors. But the city I thought would bring me luck brought only a curse.  I lost my guitar, my hand, and her.  With this injury, I may never play the guitar again.  Without her, I have no love.  But with the dog and the weapons, Im prepared for the future.",El Mariachi,3,Bedhead,The Faculty,El Mariachi,From Dusk till Dawn
"In the film Red Dawn, during his lesson, the teacher said that the armies would form a semi-circle around their enemies, about the size of what U.S. state?",Rhode Island,1,Rhode Island,Delaware,Vermont,New Hampshire
Who plays Rosie in the movie Princess Protection Program?,Demi Lovato,3,Vanessa Hudgens,Miley Cyrus,Demi Lovato,Selena Gomez
"In 1962 Jamaica gained full independence from the United Kingdom, but before even becoming a British colony, Jamaica was possession of this country.",Spain,1,Spain,Portugal,Russia,Italy
When did the The Longest Day war drama come out?,1962,2,1959,1962,1963,1964
"Tsar Pushka, the biggest cannon of its time, was created in Russia in 1586 and was later used to defend the Kremlin.",False,1,False,True,N/A,N/A
"Roger Allers took what part in the making of the Disney classic, The Lion King (1994).",Director,3,He provided Simbas voice,Script writer,Director,Cameraman
Have I Told You Lately was a big hit song for this singer in 1993.,Rod Stewart,1,Rod Stewart,Van Morrison,Bryan Adams,Luther Vandross
Which one of these 1990s boy bands was the only band to have a #1 hit on the Billboard Hot 100 in the 90s?,New Kids on the Block,2,98 Degrees,New Kids on the Block,N*SYNC,Backstreet Boys
What male musician was nicknamed the Architect of Rock and Roll?,Little Richard,4,Carl Perkins,Robert Johnson,Elvis Presley,Little Richard
"The movie Fast Times at Ridgemont High is based on a book with the same title, written by which author?",Cameron Crowe,2,John Hughes,Cameron Crowe,Arthur C. Clarke,Dean Cameron
Happiness is fleeting in the story of Bambi as another stag fights him for this mate. What is this deers name?,Ronno,3,The Stag,Mulet,Ronno,The Would-Be  Prince
Who is Seaman Hornsby in the film Operation Petticoat?,A Pig,2,The Captian,A Pig,The supply officer,A Nurse
What singer and actor portrayed Ray Charles in the 2004 biographical movie about his life entitled Ray?,Jamie Foxx,3,P. Diddy,Eddie Murphy,Jamie Foxx,Will Smith
Who composed the ballet score Rodeo?,Copland,1,Copland,Glass,Ives,Schoenberg
"In the movie Pretty in Pink, Molly Ringwald played the leading lady. What was the name of her character?",Andie Walsh,4,Andie Dong,Andie Wash,Amy Wells,Andie Walsh
"Which artist released This Years Model, the #99 greatest album of all time according to Rolling Stone Magazine?",Elvis Costello,4,Frank Sinatra,John Coltrane,Elvis Presley,Elvis Costello
"What 1988 horror movie contains the quote, Lieutenant, Ive been going over your report. Seems you automatically assume it was a police officer instead of some lunatic son-of-a-b@@ch dressed up like a cop.?",Maniac Cop,1,Maniac Cop,Silver Bullet,Creepshow,Zombie Cop
Which of the Ghostbusters movies was released in 1989?,Ghostbusters II,1,Ghostbusters II,Ghostbusters III,None of these,Ghostbusters
"What song contains the lyrics: It was two weeks after the day she turned eighteen ... all dressed in white, going to the church that night ... She had his box of letters in the passenger seat, ... and when the church doors opened up wide she put her veil down, ... trying to hide the tears?",Just a Dream,4,I Dont Know,None of these,Gone,Just a Dream
"Born in Philadelphia and raised in The Bronx, New York, this tenor had a great career with Woody Hermann’s band and later helped bring in the bossa nova sound to the USA.",Stan Getz,1,Stan Getz,Sonny Rollins,Eric Dolphy,Carlos Jobim
How many times did Laurence Fishburne turn down the role of Ike Turner in Whats Love Got to Do With It?,Five,3,Two,Zero,Five,Seven
"As we learn during a meeting of S.P.E.C.T.R.E. agents, this is the villains codename in James Bonds, Thunderball.",Number 2,3,Number 5,Number 1,Number 2,Number 6
Which 1965 hit opens with the line Ive got sunshine on a cloudy day?,My Girl,3,Tomorrow,Sunshine on my Shoulders,My Girl,My Guy
Slowhand is the nickname of which guitar legend?,Eric Clapton,1,Eric Clapton,Joe Walsh,George Harrison,George Benson
In what part of Italy was Don Vito Corleone born in Francis Ford Coppolas 1972 film The Godfather?,Sicily,3,Venice,Sardinia,Sicily,Rome
"Olivia Newton-John was born in Melbourne, Australia on September 26, 1948.",False,2,True,False,N/A,N/A
What city-state was the primary rival of Athens during the Peloponnesian war of 431 BC?,Sparta,3,Byzantium,Sumer,Sparta,Babylon
What popular band released the song Hella Good in 2002?,No Doubt,4,Evanescence,Coldplay,Muse,No Doubt
The Safety Dance was a hit single in 1983 for this Canadian band.,Men Without Hats,3,The Village People,Men at Work,Men Without Hats,Tears for Fears
"In Cheech and Chongs movie Up In Smoke, Cheech meets Chong and calls him Man because he doesnt know his name. What is the name of Chongs character?",Anthony Stoner,3,It is never mentioned,Alex Finklestein,Anthony Stoner,Ralph
The item that  the villain sent M in the film The Man With The Golden Gun was made where?,Macau,4,Jakarta,Rangoon,Kuala Lumpur,Macau
What year did the movie Ghost premiere?,1990,4,1991,1989,1992,1990
"Six gigantic guns were created during World War II, with the help of general Karl Baker. They were called Karl Monsers and were used in the Brest-Litovsk and Warsaw uprisings. What was their other deployment during the War?",The siege of Sevastopol,4,The defence of Berlin,The siege of Stalingrad,The siege of Moscow,The siege of Sevastopol
"In 221 BC Zheng of the Qin Dynasty defeated the last independent Chinese state, the State of Qi, and thus unified China. The same year he named himself Shi Huangdi, which means this.",First Emperor,3,The Conqueror,Mightiest One,First Emperor,The Unifier
Zac Efron made his acting debut in High School Musical.,False,2,True,False,N/A,N/A
"That little trashy blonde is saying Im drunk  and hes thinking hes lucky and pouring on three dollars worth of bathroom Polo. Little does he know the singer has keyed his 4-wheel drive, carved her name in his leather seats and taken a Louisville slugger to his headlights. What American Idol winner had a hit with Before He Cheats ?",Carrie Underwood,3,Kellie Pickler,Jennifer Hudson,Carrie Underwood,Kelly Clarkson
Which musical traces the life of American composer/actor George Cohan?,George M!,2,Anything Goes,George M!,The Cohan Family Singers,Yankee Doodle Dandy
Gimme Three Steps was a 1973 single by what band?,Lynyrd Skynyrd,1,Lynyrd Skynyrd,Marshall Tucker Band,Allman Brothers Band,ZZ Top
"What is the name of the punk dance with influences from mosh dancing, that when done correctly, resembles running and stumbling at the same time?",Skank,1,Skank,Slam,Breakcore,Pogo
What actress starred opposite Sean Connery in the 1999 movie Entrapment?,Catherine Zeta-Jones,2,Salma Hayek,Catherine Zeta-Jones,All of these,Angelina Jolie
Who performed the song Strawberry Wine in 1996?,Deana Carter,2,Trisha Yearwood,Deana Carter,Patty Loveless,Faith Hill
This extremely expensive 2004 movie directed by Oliver Stone barely managed to cover its enormous production costs.,Alexander,3,Oceans Twelve,World Trade Center,Alexander,Troy
Bernadette was a big hit single in 1967 for this RB group.,The Four Tops,2,The Temptations,The Four Tops,The OJays,The Spinners
Lange Max (long Max) was a World War I German cannon officially called 38cm SKL/45.  Long Max was derived from the Paris Gun.,False,2,True,False,N/A,N/A
Which one happened to the U.S. in 1791?,Bill of Rights goes into effect,2,War started with Canada,Bill of Rights goes into effect,1st recorded UFO sighting by an American,Benedict Arnold found guilty of being a traitor
"In the movie Joe Dirt, who is Joe Dirt talking to when he relates his life story?",a radio station D.J.,4,a TV newsman,a public official,patrons of a diner,a radio station D.J.
In what sport was Roy Munson crowned the 1979 Iowa State Champion in the movie Kingpin?,Bowling,2,Golf,Bowling,Tennis,Wrestling
Which one of these otherwise great men did not play the accordion?,Harry Truman,3,Richard Nixon,Peter Gabriel,Harry Truman,Drew Carey
Which Beatles member became a devout adherent of philosophies and scriptures of Hinduism?,George Harrison,3,John Lennon,Paul McCartney,George Harrison,Ringo Starr
She was called Sassy and was one of the greatest jazz vocalists.,Sarah Vaughan,1,Sarah Vaughan,Ella Fitzgerald,Shirley Horne,Lena Horne
"In motion picture, Pulp Fiction, what country is the taxi driver, Esmerelda Villalobos, from?",Colombia,1,Colombia,Spain,Mexico,Venezuela
Which of these girl groups had Martha Reeves as their lead singer?,The Vandellas,3,The Angels,The Go Gos,The Vandellas,The Crystals
Ray Charles song Baby Grand features this rock and pop legend.,Billy Joel,4,Elton John,Michael Jackson,John Lennon,Billy Joel
"What kind of animal is Marley from the 2008 drama-comedy movie Marley  Me, starring Jennifer Aniston and Owen Wilson?",Dog,1,Dog,Chinchilla,Horse,Monkey
Who is the first person WALL-E comes in contact with on the Axiom?,John,4,Mary,Shelby Forthwright,The Captain,John
Which of the following do they  NOT eat a lot in Camelot according to the movie Monty Python and the Holy Grail?,Lamb,3,Spam,Jam,Lamb,Ham
What product was being advertised in a 1993 commercial using the Van Halen song Right Now?,Crystal Pepsi,1,Crystal Pepsi,Diet Coke,Lemon Pepsi,New Coke
Napoleon started his military career in the cavalry.,False,1,False,True,N/A,N/A
Which country in Europe had the first large permanent military force in Europe?,Spain,3,Sweden,Prussia,Spain,France
"In this decade the Panama Canal was built, mass production of the automobile began, and the home phonograph became popular.",1900s,1,1900s,1930s,1940s,1920s
What is the name of the bar where the band Duran Duran was conceived?,The Rum Runner,2,The Pint,The Rum Runner,The Ale House,The Ragged Tiger
"This popular song by James Brown contains the lyrics, When I hold you in my arms, my love cant do me no harm.",I Got You (I Feel Good),2,Its a Mans Mans Mans World,I Got You (I Feel Good),Get Up Offa That Thing,Get Up (I Feel Like Being a) Sex Machine
"The leather bracelets and necklaces with metal spikes, worn by punk rockers, are called by what name?",Spike bands,4,Pikes,Prickles,Thorn armbands,Spike bands
"Which country music artist, known for the song Hello Darlin , died in 1993?",Conway Twitty,3,George Jones,Chris LeDoux,Conway Twitty,Johnny Cash
"Two of the German K5(E) guns were called Anzio Annes, because they shelled the coast of Anzio during WW II.",True,2,False,True,N/A,N/A
Which is the smallest ocean?,The Arctic Ocean,4,The Atlantic Ocean,The Indian Ocean,The Southern Ocean,The Arctic Ocean
1931 saw the release of the first animated full length film with sound. In which country was it made?,Argentina,4,The USA,Germany,Japan,Argentina
The song Just Another Day was a huge hit for this singer in 1992.,Jon Secada,2,Elton John,Jon Secada,Billy Ray Cyrus,George Michael
Who is the first Filipino-American to become Governor of a US state?,Benjamin Cayetano,4,Franklin  Rakata,Jose Nisperos,Jose Rizal,Benjamin Cayetano
"Erick Purkhiser, lead singer of The Cramps, is known as what?",Lux Interior,3,Lee Ving,Eerie Vaughn,Lux Interior,Filthy Animal
Where do the McCallister family reside in the great 90s movie Home Alone?,Chicago,3,Detroit,Philadelphia,Chicago,New York
This comedy-drama was written and directed by Woody Allen and was his biggest box office hit.,Hannah and Her Sisters,1,Hannah and Her Sisters,Annie Hall,Mona Lisa,Lets Get Harry
Cameron Frye,Ferris Buellers Day Off,2,The Great Outdoors,Ferris Buellers Day Off,Pretty in Pink,Some Kind of Wonderful
"In the movie Ghost, the name used by Whoopi Goldbergs character in the bank scenes was Rita Smith?",False,2,True,False,N/A,N/A
"In the film Pretty Woman, Edward Lewis takes the character portrayed by Julia Roberts to see which opera?",La Traviata,1,La Traviata,MacBeth,Madame Butterfly,Rigoletto
The 1979 comedy-drama movie Being There ends with this quote.,Life is a state of mind,3,Nothing is as difficult as living,Stay with me forever,Life is a state of mind,Being these is never impossible
It can be difficult to both hold a string instrument and play it. Which of these musicians holds a patent for a device used for holding a stringed instrument?,Eddie Van Halen,4,Bob Dylan,Tom Petty,Denny Dougherty,Eddie Van Halen
"He confesses to the General that there was something disturbing about personally executing Gassim. It was not the blood  . . . “No, not that, something else; I enjoyed it.” Name the movie.",Lawrence of Arabia,2,Sparticus,Lawrence of Arabia,The Dirty Dozen,Bridge Over the River Kwai
What is the name of the capital and largest city of Spain?,Madrid,1,Madrid,Rome,Milan,Valencia
What title was initially considered for the Greys Anatomy TV series?,Complications,3,Shes Meredith,Flesh And Bones,Complications,The Human Heart
"This device, consisting of one or more film projectors mechanically linked to a movie camera, can be used for making special effects for motion pictures or for copying and restoring old film material.",Optical Printer,3,Double Headed Projector,Optical Imaging Camera,Optical Printer,Duel Picture Setup
The theme music for 2001 A Space Odyssey  was composed by this man.,Richard Strauss,1,Richard Strauss,Steve Post,Claudio Monteverdi,John Williams
The video of one of his songs features Triumph The Insult Comic Dog.  Which song?,A** Like That,3,Kill You,The Real Slim Shady,A** Like That,Square Dance
The following line belongs to which character from The Crow: Our friend T-bird wont be joining us this evening on account of a slight case of death.?,Top Dollar,2,Funboy,Top Dollar,Tin Tin,Eric Draven
What performer/band is not correctly matched with the category in which they won a Grammy Award in 2013?,Carrie Underwood - Best RB Song,1,Carrie Underwood - Best RB Song,Adele - Best Pop Solo Performance,Drake - Best Rap Album,The Black Keys - Best Rock Performance
"Which actor plays officer Sadusky, the mason who happens to be serving as the chief police detective in the 2004 movie National Treasure?",Harvey Keitel,4,Harrison Woods,Christopher Plummer,Sean Bean,Harvey Keitel
War of the Worlds is the 1953 film adaptation of Orson Wells famous radio broadcast based on H. G. Wells popular novel.,True,2,False,True,N/A,N/A
Speak Of The Devil was recorded by which artist?,Ozzy Osbourne,3,Black Sabbath,Mercyful Fate,Ozzy Osbourne,Deep Purple
What author broke the record for book sales when the last book in her famous series sold 15 million copies in 24 hours?,J. K. Rowling,4,Dan Brown,Norman Mailer,C. S. Lewis,J. K. Rowling
Which one of the following was not the nickname of a Spice Girl?,Whitty Spice,2,Posh Spice,Whitty Spice,Sporty Spice,Scary Spice
"In this month, Julius Caesar was killed, and International Womens Day and Saint Patricks Day are celebrated.",March,4,August,April,June,March
"In Carmen: A Hip Hopera , what do the tarot cards of the fortune teller read for Carmen?",Death,1,Death,Happiness,Tears,Fame
"After the death of this Confederate general on on May 10, 1863, General Lee remarked, I have lost my right arm.",Jackson,2,Pickett,Jackson,Boregaurd,Armstrong
Lynyrd Skynyrd performed the song Call Me the Breeze in 1974.,True,1,True,False,N/A,N/A
Which island is NOT a part of Greece?,Gozo,3,Kea,Hydra,Gozo,Kos
"In 1977, this beautiful French movie directed by Moshé Mizrahi won an Oscar.",Madame Rosa,3,King of Hearts,The Bicycle Thief,Madame Rosa,All About My Mother
In which European Union member the native people make up only 60% of the total population?,Latvia,3,Poland,Austria,Latvia,France
What is Mr. Jones eating in the movie Friday when he catches Craig in the refrigerator?,Grapes,4,Pig Feet,A Hot Dog,Nothing,Grapes
What popular female musician appeared alongside Whoopi Goldberg in the 1993 comedy movie Sister Act 2: Back in the Habit?,Lauryn Hill,3,Mary J. Blige,Brandy,Lauryn Hill,Mariah Carey
"Finish this advertising jingle: Oh, I wish I were ......",an Oscar-Mayer weiner,2,an Oldsmobile,an Oscar-Mayer weiner,a slice of new bologna,a Cadillac
One of these James Bond movies was not released during the 80s.,Moonraker,3,A View to a Kill,Octopussy,Moonraker,For Your Eyes Only
"This politically oriented hip-hop group never shied from controversy, and their lyrics often reflected concerns of the African American community. Their albums include Yo! Bum Rush the Show (1987), It Takes a Nation of Millions to Hold Us Back (1988), and Fear of a Black Planet (1990).",Public Enemy,2,Jungle Brothers,Public Enemy,N.W.A.,Boogie Down Productions
Jimmy Mack was a big hit song for this female group in 1967.,Martha and the Vandellas,3,Honey Cone,Diana Ross  the Supremes,Martha and the Vandellas,The Marvelettes
Which of these musicians is lead singer and founding member of Cinderella?,Tom Keifer,2,Tommy Keifs,Tom Keifer,Keith Thompson,Keifer Thomas
"In the movie Team America: World Police, where does the team of U.S. Special Forces stay when they are not fighting crime?",Mount Rushmore,3,The Grand Canyon,The basement of The White House,Mount Rushmore,The Statue of Liberty
She married Lenny Kravitz on her 20th birthday.,Lisa Bonet,3,Debbie Gibson,Courtney Hart,Lisa Bonet,Robin Givens
How many Grammys did Alvin and The Chipmunks win in 1959?,3,4,1,2,0,3
Where did the first Miss America pageant take place?,"Atlantic City, New Jersey",4,"Las Vegas, Nevada","Miami, Florida","St. Louis, Missouri","Atlantic City, New Jersey"
"American hip hop performer James Todd Smith III is better known by his stage name, LL Cool J, which stands for what?",Ladies Love Cool James,2,Lovers Lack Cool Jobs,Ladies Love Cool James,Little Less Cool James,Lemons Lay in Cool Jars
Which of these handsome African American actors stars in the 2003 The Fighting Temptations movie?,"Cuba Gooding, Jr.",1,"Cuba Gooding, Jr.",Jamie Foxx,Will Smith,Denzel Washington
"The main character in the movie My Big Fat Greek Wedding, Toula, has a father named Gus. He thinks Pine Sol will cure any illness and carries it around all the time, spraying it on wounds.",False,2,True,False,N/A,N/A
What popular boy band released the hit single Back for Good in 1995?,Take That,1,Take That,Boyzone,Backstreet Boys,Boyz II Men
"In National Treasure, who plays Ian Howe, the treasure seeker who wants the treasure solely for the riches?",Sean Bean,2,Harvey Keitel,Sean Bean,Justin Bartha,Christopher Plummer
What was the real name of General Stonewall Jackson?,Thomas Jonathan Jackson,2,Robert Edward Jackson,Thomas Jonathan Jackson,Henry David Jackson,Nathan Bedford Jackson
Aaliyahs first major movie role was in Romeo Must Die where she starred alongside this movie star.,Jet Li,2,Chow Yun Fat,Jet Li,Brandon Lee,Jackie Chan
"In the cartoon series Calvin and Hobbes, what is Hobbes?",A stuffed tiger,3,A stuffed leopard,A boy,A stuffed tiger,A beagle
What musician/actor wrote the popular Janis Joplin song Me and Bobby McGee?,Kris Kristofferson,1,Kris Kristofferson,Kenny Rogers,Harry Sundance,Howard Hesseman
Destinys child worked with producer Timbaland on this song which is the third single from their debut album.,Get on the Bus,2,Sail On,Get on the Bus,With Me Part 1,"Bills, Bills, Bills"
Who is Mias worst enemy in the film The Princess Diaries?,Lana,3,Fontana,Anna,Lana,Lilly
What special Grammy Award did Aretha Franklin receive in 1991?,Living Legend Award,2,Lifetime Achievement Award,Living Legend Award,Greatest Voices Award,Queen of Soul Award
Against which country were the two Gulf Wars fought?,Iraq,4,Israel,Iran,Vietnam,Iraq
"In the 1984 film Nightmare on Elm Street, Nancys house was really on Elm Street.",False,2,True,False,N/A,N/A
I have confidence in sunshine. I have confidence in rain are the opening lines of the song I Have Confidence from The Sound of Music.,False,2,True,False,N/A,N/A
Who performed the song Theyre Coming to Take Me Away Ha-Haaa?,Napoleon XIV,4,Ray Stevens,Dickie Goodman,Mott the Hoople,Napoleon XIV
"Before starting his music career, Jimi Hendrix was in the military.",True,1,True,False,N/A,N/A
Captured was released by which group?,Journey,2,Bon Jovi,Journey,Depeche Mode,Rush
How will you say I Love You in Filipino?,Mahal Kita,1,Mahal Kita,Ikaw Na Nga,Sino Ka,Hindi Ko Alam
"This is the sixth largest island in the world, and the largest island that is entirely in Indonesia.",Sumatra,1,Sumatra,New Guinea,Java,Borneo
When was George Strait born?,"May 18, 1952",1,"May 18, 1952","June 17, 1954","December 3, 1954","October 5, 1952"
"Which artist recorded Kind of Blue, the #12 album on Rolling Stones list of greatest albums?",Miles Davis,3,Marvin Gaye,Elton John,Miles Davis,Stevie Wonder
In the 1980 movie Motel Hell there is a sign that reads It takes all kinds of critters to make Farmer Vincents fritters.,True,2,False,True,N/A,N/A
Has anyone landed an aircraft or helicopter on the summit of Mt. Everest?,Yes,1,Yes,No,N/A,N/A
What is the occupation of Jim Carreys character in the 1997 movie Liar Liar?,Lawyer,1,Lawyer,Pet detective,Politician,Police officer
Thomas Lennon met actress and singer Kerri Kenney at a theater camp.,True,2,False,True,N/A,N/A
What 1987 film received the Academy Award for Best Picture at the 60th Academy Awards in 1988?,The Last Emperor,4,Hope and Glory,Fatal Attraction,Moonstruck,The Last Emperor
